GRAPH_NAME,GRAPH_URL,THREADS,MAX_ITERS,TOLERANCE,ANALYSIS_TYPE,DISABLE_HYPERTHREADING,THREAD_BIND_POLICY,LOGS_GAPBS,ELAPSED_TIME,SPEEDUP,PARALLEL_EFFICIENCY,SEQUENTIAL_TIME
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,22,500,1e-06,hotspots,True,close,True,0.5105639999999999,2.1725276361043866,0.098751256186563,1.1092144
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,22,500,1e-06,hotspots,False,close,True,0.5813505999999999,2.006236856038336,0.0911925843653789,1.166327
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,22,500,1e-06,hpc-performance,True,close,True,0.507002,1.9450357197801984,0.0884107145354635,0.986137
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,22,500,1e-06,hpc-performance,False,close,True,0.5476096000000001,1.9789945245664056,0.0899542965712002,1.0837164
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,28,500,1e-06,performance-snapshot,True,close,True,0.3711879999999999,2.605141868810415,0.0930407810289433,0.9669974
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,28,500,1e-06,performance-snapshot,False,close,True,0.4047346,2.6000302420400927,0.0928582229300033,1.0523222
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,28,500,1e-06,hotspots,True,close,True,0.5182454,2.140326571157216,0.0764402346841863,1.1092144
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,28,500,1e-06,hotspots,False,close,True,0.5091903999999999,2.2905518250147687,0.081805422321956,1.166327
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,28,500,1e-06,hpc-performance,True,close,True,0.4958589999999999,1.988744784303603,0.0710265994394143,0.986137
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,28,500,1e-06,hpc-performance,False,close,True,0.5523654,1.961955618509052,0.0700698435181804,1.0837164
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,36,500,1e-06,performance-snapshot,True,close,True,0.3346586,2.889504109561207,0.0802640030433668,0.9669974
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,36,500,1e-06,performance-snapshot,False,close,True,0.3962405999999999,2.655765714063628,0.0737712698351007,1.0523222
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,36,500,1e-06,hotspots,True,close,True,0.4441081999999999,2.497621975905872,0.0693783882196075,1.1092144
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,36,500,1e-06,hotspots,False,close,True,0.5046222,2.3112875335250807,0.0642024314868077,1.166327
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,36,500,1e-06,hpc-performance,True,close,True,0.5129485999999999,1.9224869704293963,0.053402415845261,0.986137
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,36,500,1e-06,hpc-performance,False,close,True,0.5870489999999999,1.846040790462125,0.0512789108461701,1.0837164
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,44,500,1e-06,performance-snapshot,True,close,True,0.3235642,2.988579700720908,0.0679222659254751,0.9669974
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,44,500,1e-06,performance-snapshot,False,close,True,0.3946424,2.666520880675772,0.0606027472880857,1.0523222
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,44,500,1e-06,hotspots,True,close,True,0.4600711999999999,2.4109624771122387,0.0547946017525508,1.1092144
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,44,500,1e-06,hotspots,False,close,True,0.4991244,2.33674610978746,0.0531078661315331,1.166327
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,44,500,1e-06,hpc-performance,True,close,True,0.5335388,1.8482948194208184,0.0420067004413822,0.986137
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,44,500,1e-06,hpc-performance,False,close,True,0.626384,1.7301150731819457,0.0393207971177714,1.0837164
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,66,500,1e-06,performance-snapshot,True,close,True,0.3635225999999999,2.660075054480795,0.0403041674921332,0.9669974
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,66,500,1e-06,performance-snapshot,False,close,True,0.3526339999999999,2.984176795204094,0.0452147999273347,1.0523222
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,66,500,1e-06,hotspots,True,close,True,0.533358,2.079680814762317,0.0315103153751866,1.1092144
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,66,500,1e-06,hotspots,False,close,True,0.479836,2.4306783984528044,0.0368284605826182,1.166327
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,66,500,1e-06,hpc-performance,True,close,True,0.6865162,1.4364366055746391,0.0217641909935551,0.986137
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,66,500,1e-06,hpc-performance,False,close,True,0.7214382,1.5021610998696768,0.022760016664692,1.0837164
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,88,500,1e-06,performance-snapshot,True,close,True,0.3673717999999999,2.632203669416107,0.0299114053342739,0.9669974
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,88,500,1e-06,performance-snapshot,False,close,True,0.3517061999999999,2.992049045481713,0.0340005573350194,1.0523222
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,88,500,1e-06,hotspots,True,close,True,0.5540187999999999,2.002124115643729,0.0227514104050423,1.1092144
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,88,500,1e-06,hotspots,False,close,True,0.4837916,2.410804569570865,0.0273955064723961,1.166327
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,88,500,1e-06,hpc-performance,True,close,True,0.7944114000000001,1.2413429615939549,0.0141061700181131,0.986137
com-LiveJournal,https://snap.stanford.edu/data/bigdata/communities/com-lj.all.cmty.txt.gz,88,500,1e-06,hpc-performance,False,close,True,0.8382878,1.2927736751029897,0.0146906099443521,1.0837164
