GRAPH_NAME,THREADS,DISABLE_HYPERTHREADING,THREAD_BIND_POLICY,RUN,ELAPSED_TIME,SPEEDUP
com-Friendster,1,false,close,1,1.10617,0.9990543948940942
com-Friendster,1,false,close,2,1.10094,1.0038003887586973
com-Friendster,1,false,close,3,1.10085,1.0038824544670029
com-Friendster,1,false,close,4,1.10572,0.9994609846977537
com-Friendster,1,false,close,5,1.10561,0.9995604236575286
com-Friendster,1,false,close,6,1.1051,1.00002171749163
com-Friendster,1,false,close,7,1.10595,0.9992531307925315
com-Friendster,1,false,close,8,1.10706,0.9982512239625678
com-Friendster,1,false,close,9,1.10754,0.9978185889448691
com-Friendster,1,false,close,10,1.1063,0.9989369971978669
com-Friendster,1,false,spread,1,1.10612,1.000991754963295
com-Friendster,1,false,spread,2,1.10688,1.000304459381324
com-Friendster,1,false,spread,3,1.10907,0.998329230796974
com-Friendster,1,false,spread,4,1.1088,0.9985723304473303
com-Friendster,1,false,spread,5,1.10482,1.0021695841856593
com-Friendster,1,false,spread,6,1.10693,1.000259275654287
com-Friendster,1,false,spread,7,1.1082,0.9991129759971122
com-Friendster,1,false,spread,8,1.10712,1.0000876147120454
com-Friendster,1,false,spread,9,1.10731,0.999916012679376
com-Friendster,1,false,spread,10,1.10692,1.00026831207314
com-Friendster,1,true,close,1,1.10557,0.9995812115017592
com-Friendster,1,true,close,2,1.10371,1.0012657310344202
com-Friendster,1,true,close,3,1.1045,1.0005495699411497
com-Friendster,1,true,close,4,1.10576,0.9994094559398059
com-Friendster,1,true,close,5,1.10631,0.9989126013504351
com-Friendster,1,true,close,6,1.10129,1.003465935403027
com-Friendster,1,true,close,7,1.10612,0.9990841861642497
com-Friendster,1,true,close,8,1.10555,0.9995992944688162
com-Friendster,1,true,close,9,1.10625,0.9989667796610169
com-Friendster,1,true,close,10,1.10601,0.9991835516857893
com-Friendster,1,true,spread,1,1.10765,0.9995305376247011
com-Friendster,1,true,spread,2,1.10712,1.0000090324445408
com-Friendster,1,true,spread,3,1.10684,1.000262007155506
com-Friendster,1,true,spread,4,1.10728,0.999864532909472
com-Friendster,1,true,spread,5,1.10661,1.0004699035794002
com-Friendster,1,true,spread,6,1.10669,1.0003975819786934
com-Friendster,1,true,spread,7,1.10729,0.9998555030750752
com-Friendster,1,true,spread,8,1.10714,0.9999909677186265
com-Friendster,1,true,spread,9,1.10688,1.0002258600751663
com-Friendster,1,true,spread,10,1.1078,0.9993951976891138
com-Friendster,4,false,close,1,0.62936,1.7559489004703193
com-Friendster,4,false,close,2,0.62955,1.755418950043682
com-Friendster,4,false,close,3,0.6297,1.755000794028903
com-Friendster,4,false,close,4,0.62925,1.756255860150974
com-Friendster,4,false,close,5,0.62931,1.7560884142950217
com-Friendster,4,false,close,6,0.6299,1.7544435624702337
com-Friendster,4,false,close,7,0.62892,1.7571773834509956
com-Friendster,4,false,close,8,0.62978,1.7547778589348664
com-Friendster,4,false,close,9,0.62915,1.7565350075498694
com-Friendster,4,false,close,10,0.63043,1.7529686087273768
com-Friendster,4,false,spread,1,0.55882,1.9813481979886187
com-Friendster,4,false,spread,2,0.54383,2.035961605648824
com-Friendster,4,false,spread,3,0.55955,1.9787632919310159
com-Friendster,4,false,spread,4,0.55638,1.9900373845213701
com-Friendster,4,false,spread,5,0.5558,1.9921140698092838
com-Friendster,4,false,spread,6,0.55184,2.0064094665120322
com-Friendster,4,false,spread,7,0.55615,1.990860379394048
com-Friendster,4,false,spread,8,0.54795,2.0206533442832373
com-Friendster,4,false,spread,9,0.56859,1.9473029775409343
com-Friendster,4,false,spread,10,0.55432,1.9974328907490255
com-Friendster,4,true,close,1,0.48755,2.266653676545995
com-Friendster,4,true,close,2,0.48905,2.259701462018198
com-Friendster,4,true,close,3,0.48652,2.2714523555043984
com-Friendster,4,true,close,4,0.48541,2.27664654621866
com-Friendster,4,true,close,5,0.48333,2.2864440444416854
com-Friendster,4,true,close,6,0.48818,2.2637285427506244
com-Friendster,4,true,close,7,0.48803,2.2644243181771606
com-Friendster,4,true,close,8,0.49038,2.253572739508136
com-Friendster,4,true,close,9,0.49228,2.2448748679613226
com-Friendster,4,true,close,10,0.49559,2.229881555317904
com-Friendster,4,true,spread,1,0.55733,1.9864891536432638
com-Friendster,4,true,spread,2,0.55331,2.000921725614936
com-Friendster,4,true,spread,3,0.55198,2.005742961701511
com-Friendster,4,true,spread,4,0.55186,2.006179103395789
com-Friendster,4,true,spread,5,0.56148,1.9718066538434142
com-Friendster,4,true,spread,6,0.55112,2.008872840760633
com-Friendster,4,true,spread,7,0.5568,1.9883800287356326
com-Friendster,4,true,spread,8,0.55589,1.9916350357085038
com-Friendster,4,true,spread,9,0.56589,1.9564402975843365
com-Friendster,4,true,spread,10,0.56008,1.9767354663619485
com-Friendster,12,false,close,1,0.29676,3.7239654940018876
com-Friendster,12,false,close,2,0.2958,3.736051386071671
com-Friendster,12,false,close,3,0.2957,3.7373148461278327
com-Friendster,12,false,close,4,0.29614,3.7317620044573516
com-Friendster,12,false,close,5,0.29597,3.7339054633915607
com-Friendster,12,false,close,6,0.29524,3.7431377862078317
com-Friendster,12,false,close,7,0.29664,3.72547195253506
com-Friendster,12,false,close,8,0.29611,3.7321400830772355
com-Friendster,12,false,close,9,0.29364,3.763533578531536
com-Friendster,12,false,close,10,0.29261,3.776781381360857
com-Friendster,12,false,spread,1,0.34822,3.17964792372638
com-Friendster,12,false,spread,2,0.34866,3.175635289393678
com-Friendster,12,false,spread,3,0.35097,3.1547340228509557
com-Friendster,12,false,spread,4,0.34991,3.164290817638821
com-Friendster,12,false,spread,5,0.35025,3.161219129193433
com-Friendster,12,false,spread,6,0.35145,3.1504253805662255
com-Friendster,12,false,spread,7,0.35021,3.1615801947402984
com-Friendster,12,false,spread,8,0.35236,3.1422891361107954
com-Friendster,12,false,spread,9,0.35297,3.1368586565430485
com-Friendster,12,false,spread,10,0.35091,3.155273431934114
com-Friendster,12,true,close,1,0.27411,4.031618693225346
com-Friendster,12,true,close,2,0.27552,4.010986498257839
com-Friendster,12,true,close,3,0.27484,4.0209103478387425
com-Friendster,12,true,close,4,0.27447,4.026330746529675
com-Friendster,12,true,close,5,0.27423,4.029854501695657
com-Friendster,12,true,close,6,0.27382,4.035888539916733
com-Friendster,12,true,close,7,0.27379,4.036330764454509
com-Friendster,12,true,close,8,0.27396,4.033826106000876
com-Friendster,12,true,close,9,0.27434,4.028238681927535
com-Friendster,12,true,close,10,0.27501,4.0184247845532886
com-Friendster,12,true,spread,1,0.3457,3.2025744865490315
com-Friendster,12,true,spread,2,0.34849,3.1769347757467936
com-Friendster,12,true,spread,3,0.35093,3.154845695722794
com-Friendster,12,true,spread,4,0.3515,3.14972972972973
com-Friendster,12,true,spread,5,0.34831,3.1785765553673455
com-Friendster,12,true,spread,6,0.34898,3.172474067281793
com-Friendster,12,true,spread,7,0.35167,3.1482071259988063
com-Friendster,12,true,spread,8,0.34941,3.168569874932029
com-Friendster,12,true,spread,9,0.35155,3.1492817522400802
com-Friendster,12,true,spread,10,0.34919,3.1705661674160206
com-Friendster,22,false,close,1,0.25862,4.273157528420076
com-Friendster,22,false,close,2,0.25889,4.2687009926996025
com-Friendster,22,false,close,3,0.25954,4.258010325961317
com-Friendster,22,false,close,4,0.26137,4.228197574319931
com-Friendster,22,false,close,5,0.26098,4.234516054870106
com-Friendster,22,false,close,6,0.2611,4.232569896591345
com-Friendster,22,false,close,7,0.26181,4.221091631335702
com-Friendster,22,false,close,8,0.26225,4.214009532888467
com-Friendster,22,false,close,9,0.26175,4.222059216809934
