GRAPH_NAME,GRAPH_URL,THREADS,MAX_ITERS,TOLERANCE,DISABLE_HYPERTHREADING,THREAD_BIND_POLICY,LOGS_GAPBS,VTUNE_ENABLE,ELAPSED_TIME,SPEEDUP,PARALLEL_EFFICIENCY,ELAPSED_TIME_MEAN,SEQUENTIAL_TIME
web-NotreDame,https://snap.stanford.edu/data/web-NotreDame.txt.gz,4,500,1e-06,False,close,True,False,0.025130999999999997,2.4979905296247664,0.6244976324061916,0.025130999999999997,0.062777
web-NotreDame,https://snap.stanford.edu/data/web-NotreDame.txt.gz,12,500,1e-06,True,close,True,False,0.013483,4.746347252095231,0.39552893767460257,0.013483,0.063995
web-NotreDame,https://snap.stanford.edu/data/web-NotreDame.txt.gz,12,500,1e-06,False,close,True,False,0.016873,3.7205594737154035,0.310046622809617,0.016873,0.062777
web-NotreDame,https://snap.stanford.edu/data/web-NotreDame.txt.gz,22,500,1e-06,True,close,True,False,0.010535,6.074513526340769,0.2761142511973077,0.010535,0.063995
web-NotreDame,https://snap.stanford.edu/data/web-NotreDame.txt.gz,22,500,1e-06,False,close,True,False,0.013933999999999998,4.505310750681786,0.20478685230371754,0.013933999999999998,0.062777
web-NotreDame,https://snap.stanford.edu/data/web-NotreDame.txt.gz,28,500,1e-06,True,close,True,False,0.011183,5.722525261557721,0.20437590219849003,0.011183,0.063995
web-NotreDame,https://snap.stanford.edu/data/web-NotreDame.txt.gz,28,500,1e-06,False,close,True,False,0.013930999999999999,4.506280956140981,0.1609386055764636,0.013930999999999999,0.062777
web-NotreDame,https://snap.stanford.edu/data/web-NotreDame.txt.gz,36,500,1e-06,True,close,True,False,0.011437,5.595435866048789,0.1554287740569108,0.011437,0.063995
web-NotreDame,https://snap.stanford.edu/data/web-NotreDame.txt.gz,36,500,1e-06,False,close,True,False,0.013952999999999998,4.499175804486491,0.12497710568018029,0.013952999999999998,0.062777
web-NotreDame,https://snap.stanford.edu/data/web-NotreDame.txt.gz,44,500,1e-06,True,close,True,False,0.011551,5.540212968574149,0.12591393110395793,0.011551,0.063995
web-NotreDame,https://snap.stanford.edu/data/web-NotreDame.txt.gz,44,500,1e-06,False,close,True,False,0.014006,4.482150506925604,0.1018670569755819,0.014006,0.062777
web-NotreDame,https://snap.stanford.edu/data/web-NotreDame.txt.gz,66,500,1e-06,True,close,True,False,0.015875,4.031181102362204,0.06107850155094249,0.015875,0.063995
web-NotreDame,https://snap.stanford.edu/data/web-NotreDame.txt.gz,66,500,1e-06,False,close,True,False,0.014680000000000002,4.276362397820163,0.06479336966394186,0.014680000000000002,0.062777
web-NotreDame,https://snap.stanford.edu/data/web-NotreDame.txt.gz,88,500,1e-06,True,close,True,False,0.016589,3.8576767737657485,0.04383723606551986,0.016589,0.063995
web-NotreDame,https://snap.stanford.edu/data/web-NotreDame.txt.gz,88,500,1e-06,False,close,True,False,0.01494,4.20194109772423,0.047749330655957156,0.01494,0.062777
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,1,500,1e-06,True,close,True,False,0.177626,1.0,1.0,0.177626,0.177626
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,1,500,1e-06,False,close,True,False,0.17751699999999998,1.0,1.0,0.17751699999999998,0.17751699999999998
