Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	6.038198
1	SP GFLOPS	3.494425
1	DP GFLOPS	0.927430
1	x87 GFLOPS	0.0
1	CPI Rate	1.556436
1	Average CPU Frequency	2812613594.927417
1	Total Thread Count	28
0	Effective Physical Core Utilization	23.4% (10.317 out of 44)
1	Effective Logical Core Utilization	23.0% (20.239 out of 88)
0	Memory Bound	30.6
1	Cache Bound	38.9
1	DRAM Bound	7.6
2	DRAM Bandwidth Bound	2.2
1	NUMA: % of Remote Accesses	38.4
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	192.000000	118.800000	46.497316	0.0
1	DRAM Single-Package, GB/sec	96.000000	80.000000	30.475980	2.2
1	QPI Outgoing, GB/sec	68.000000	56.200000	19.986095	2.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	8.1
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	DP FLOPs	2.2
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	x87 FLOPs	0.0
2	Non-FP	89.7
1	FP Arith/Mem Rd Instr. Ratio	0.558094
1	FP Arith/Mem Wr Instr. Ratio	1.217753
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/com-Friendster/com-Friendster.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	45368811
1	Collection start time	06:27:45 03/10/2025 UTC
1	Collection stop time	06:27:51 03/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199990043
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	96000000000.000000
